"Source:","/home/hw/kicad_projects/synth/MFOS_LFO/MFOS_LFO.kicad_sch"
"Date:","Thu 20 Jul 2023 01:40:06 PM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","95"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100pF","Device:C","","~"
"","","C2","10uF","Device:C_Polarized","","~"
"","","C3","0.1uF","Device:C","","~"
"","","C4","0.1uF","Device:C","","~"
"","","C5","0.1uF","Device:C","","~"
"","","C6","10uF","Device:C_Polarized","","~"
"","","C7","0.1uF","Device:C","","~"
"","","C8","0.1uF","Device:C","","~"
"","","C9","0.1uF","Device:C","","~"
"","","C10","10pF","Device:C","","~"
"","","C11","0.02uF","Device:C","","~"
"","","C12","10pF","Device:C","","~"
"","","D1","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","J19","Jack-DC","Connector:Jack-DC","","~"
"","","J20","Jack-DC","Connector:Jack-DC","","~"
"","","J21","Jack-DC","Connector:Jack-DC","","~"
"","","J22","Jack-DC","Connector:Jack-DC","","~"
"","","J23","Jack-DC","Connector:Jack-DC","","~"
"","","J24","Jack-DC","Connector:Jack-DC","","~"
"","","J25","Jack-DC","Connector:Jack-DC","","~"
"","","J26","Jack-DC","Connector:Jack-DC","","~"
"","","LED1","LED","Device:LED","","~"
"","","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q2","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
