"Source:","/home/hw/kicad_projects/synth/MFOS_STEREO_AUTO_PANNER/MFOS_STEREO_AUTO_PANNER.kicad_sch"
"Date:","Fri 26 May 2023 09:54:14 AM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","88"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","47pF","Device:C","","~"
"","","C2","1uF","Device:C","","~"
"","","C3","47pF","Device:C","","~"
"","","C4",".1uF","Device:C","","~"
"","","C5","47pF","Device:C","","~"
"","","C6",".1uF","Device:C","","~"
"","","C7","47uF","Device:C_Polarized","","~"
"","","C8",".1uF","Device:C","","~"
"","","C9",".1uF","Device:C","","~"
"","","C10",".1uF","Device:C","","~"
"","","C11","10uF","Device:C_Polarized","","~"
"","","C12",".1uF","Device:C","","~"
"","","C13",".1uF","Device:C","","~"
"","","C14",".1uF","Device:C","","~"
"","","C15","10uF","Device:C_Polarized","","~"
"","","D1","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D3","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D4","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","LED1","LED","Device:LED","","~"
"","","R1","6.2K","Device:R","","~"
"","","R2","100K","Device:R","","~"
"","","R3","10K","Device:R","","~"
"","","R4","6.2K","Device:R","","~"
"","","R5","1K","Device:R_Potentiometer","","~"
"","","R6","33k","Device:R","","~"
"","","R7","20K","Device:R","","~"
"","","R8","100k","Device:R_Potentiometer","","~"
"","","R9","270K","Device:R","","~"
"","","R10","20K","Device:R","","~"
"","","R11","20K","Device:R","","~"
"","","R12","47K","Device:R","","~"
"","","R13","39k","Device:R","","~"
"","","R14","33k","Device:R","","~"
"","","R15","100K","Device:R","","~"
"","","R16","47K","Device:R","","~"
"","","R17","1K","Device:R","","~"
"","","R18","1M","Device:R","","~"
"","","R19","220K","Device:R","","~"
"","","R20","15K","Device:R","","~"
"","","R21","2K","Device:R","","~"
"","","R22","1K","Device:R","","~"
"","","R23","100K","Device:R","","~"
"","","R24","4.7K","Device:R","","~"
"","","R25","39k","Device:R","","~"
"","","R26","39k","Device:R","","~"
"","","R27","33k","Device:R","","~"
"","","R28","33k","Device:R","","~"
"","","R29","20K","Device:R","","~"
"","","R30","100K","Device:R","","~"
"","","R31","100K","Device:R","","~"
"","","R32","1K","Device:R","","~"
"","","R33","1M","Device:R","","~"
"","","R34","100K","Device:R","","~"
"","","R35","100K","Device:R","","~"
"","","R36","15K","Device:R","","~"
"","","R37","2K","Device:R","","~"
"","","R38","100K","Device:R","","~"
"","","R39","43K","Device:R","","~"
"","","R40","10K","Device:R","","~"
"","","R41","100K","Device:R","","~"
"","","R42","4.7K","Device:R","","~"
"","","R43","100K","Device:R","","~"
"","","R44","47K","Device:R","","~"
"","","R45","120K","Device:R","","~"
"","","R46","100k","Device:R_Potentiometer","","~"
"","","R47","100K","Device:R","","~"
"","","R48","680K","Device:R","","~"
"","","R49","3K","Device:R","","~"
"","","R50","100K","Device:R","","~"
"","","R51","47K","Device:R","","~"
"","","R52","100k","Device:R_Potentiometer","","~"
"","","R53","20K","Device:R","","~"
"","","R54","100k","Device:R_Potentiometer","","~"
"","","R55","47K","Device:R","","~"
"","","R56","10K","Device:R","","~"
"","","R57","1M","Device:R","","~"
"","","S1","SW_Push","Switch:SW_Push","","~"
"","","S2","SW_SPST","Switch:SW_SPST","","~"
"","","U1","TL084",":TL084_1","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"","","U2","LM13700","Amplifier_Operational:LM13700","","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
"","","U3","TL082","Amplifier_Operational:TL082","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"","","U4","LM13700","Amplifier_Operational:LM13700","","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
