"Source:","/home/hw/kicad_projects/synth/MFOS_STEREO_MIXER/MFOS_STEREO_MIXER.kicad_sch"
"Date:","Wed 12 Jul 2023 08:14:48 AM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1",".1uF","Device:C","","~"
"","","C2","10pF","Device:C","","~"
"","","C3",".1uF","Device:C","","~"
"","","C4","10pF","Device:C","","~"
"","","C5",".1uF","Device:C","","~"
"","","C6","10pF","Device:C","","~"
"","","C7",".1uF","Device:C","","~"
"","","C8","10pF","Device:C","","~"
"","","C9","47uF","Device:C_Polarized","","~"
"","","C10","47uF","Device:C_Polarized","","~"
"","","C11","10pF","Device:C","","~"
"","","C12","47uF","Device:C_Polarized","","~"
"","","C13","47uF","Device:C_Polarized","","~"
"","","C14","10pF","Device:C","","~"
"","","C15","10uF","Device:C_Polarized","","~"
"","","C16",".1uF","Device:C","","~"
"","","C17",".1uF","Device:C","","~"
"","","C18",".1uF","Device:C","","~"
"","","C19","10uF","Device:C_Polarized","","~"
"","","C20",".1uF","Device:C","","~"
"","","C21",".1uF","Device:C","","~"
"","","C22",".1uF","Device:C","","~"
"","","C23",".1uF","Device:C","","~"
"","","C24","47uF","Device:C_Polarized","","~"
"","","C25","47uF","Device:C_Polarized","","~"
"","","C26","47uF","Device:C_Polarized","","~"
"","","C27","47uF","Device:C_Polarized","","~"
"","","C28","1uF","Device:C_Polarized","","~"
"","","C29","220uF","Device:C_Polarized","","~"
"","","C30","0.047uF","Device:C","","~"
"","","C31","10pF","Device:C","","~"
"","","C32","10pF","Device:C","","~"
"","","C33",".1uF","Device:C","","~"
"","","C34","47uF","Device:C_Polarized","","~"
"","","C35","47uF","Device:C_Polarized","","~"
"","","C36","47uF","Device:C_Polarized","","~"
"","","C37","47uF","Device:C_Polarized","","~"
"","","C38","220uF","Device:C_Polarized","","~"
"","","C39","1uF","Device:C_Polarized","","~"
"","","C40","0.047uF","Device:C","","~"
"","","C41","10pF","Device:C","","~"
"","","C42","10pF","Device:C","","~"
"","","C43",".1uF","Device:C","","~"
"","","C44",".1uF","Device:C","","~"
"","","J1","Jack-DC","Connector:Jack-DC","","~"
"","","J2","Jack-DC","Connector:Jack-DC","","~"
"","","J3","Jack-DC","Connector:Jack-DC","","~"
"","","J4","Jack-DC","Connector:Jack-DC","","~"
"","","J5","Jack-DC","Connector:Jack-DC","","~"
"","","J6","Jack-DC","Connector:Jack-DC","","~"
"","","J7","Jack-DC","Connector:Jack-DC","","~"
"","","J8","Jack-DC","Connector:Jack-DC","","~"
"","","J9","Jack-DC","Connector:Jack-DC","","~"
"","","J10","Jack-DC","Connector:Jack-DC","","~"
"","","J11","Jack-DC","Connector:Jack-DC","","~"
"","","J12","Jack-DC","Connector:Jack-DC","","~"
"","","J13","Jack-DC","Connector:Jack-DC","","~"
"","","J14","Jack-DC","Connector:Jack-DC","","~"
"","","J15","Jack-DC","Connector:Jack-DC","","~"
