"Source:","/home/hw/kicad_projects/synth/MFOS_VCO/MFOS_VCO.kicad_sch"
"Date:","Sat 06 Apr 2024 04:55:06 PM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","112"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C2","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C3","100pF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","https://www.mouser.pe/datasheet/2/447/KEM_C1049_GOLDMAX_C0G-3316333.pdf"
"","","C4","10pF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C5","0.001uF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C6",".005uF","dhk:C_Polystyrene","Capacitor_THT:C_Axial_L12.0mm_D6.5mm_P15.00mm_Horizontal","https://www.mouser.pe/datasheet/2/449/Elytone_23P_Series-3182363.pdf"
"","","C7","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"","","C8","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C10","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"","","C12","1uF","dhk:C_Tantalum","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C13","1uF","dhk:C_Tantalum","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C14","0.002uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C15","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C16","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C17","100pF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","https://www.mouser.pe/datasheet/2/447/KEM_C1049_GOLDMAX_C0G-3316333.pdf"
"","","C18","4.7pF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C19","100pF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","https://www.mouser.pe/datasheet/2/447/KEM_C1049_GOLDMAX_C0G-3316333.pdf"
"","","D1","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D3","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D4","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D5","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D6","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
